"KensaResult(OK,/NG)",KensaTime,KensaSagyoushaName,DetectedPitch,TotalLength,KensaYarinaoshi
"(0, 1)",20240301_124805,,[],0,
"(0, 1)",20240301_124808,,[],0,False
"(0, 2)",20240301_124809,,[],0,False
"(0, 3)",20240301_124811,,[],0,False
"(0, 4)",20240301_124816,,[],0,False
"(0, 1)",20240310_192431,,[],0,
"(0, 1)",20240310_194427,,[],0,
"(0, 1)",20240310_194946,,[],0,
"(0, 1)",20240310_195238,,[],0,
"(0, 1)",20240310_201145,,[],0,
"(0, 1)",20240312_150629,,[],0,
"(0, 1)",20240319_155116,,[],0,
"(0, 1)",20240320_184006,,[],0,
"(0, 2)",20240320_184009,,[],0,False
"(0, 1)",20240320_184127,,[],0,
"(0, 2)",20240320_184129,,[],0,False
"(0, 3)",20240320_184131,,[],0,False
"(0, 4)",20240320_184136,,[],0,False
"(0, 1)",20240320_184234,,[],0,
"(0, 2)",20240320_184235,,[],0,False
"(0, 3)",20240320_184237,,[],0,False
"(0, 4)",20240320_184238,,[],0,False
"(0, 5)",20240320_184240,,[],0,False
"(0, 6)",20240320_184242,,[],0,False
"(0, 7)",20240320_184243,,[],0,False
"(0, 8)",20240320_184245,,[],0,False
"(0, 1)",20240322_103850,,[],0,
"(0, 2)",20240322_103855,,[],0,False
"(0, 1)",20240322_104040,,[],0,
"(0, 2)",20240322_104045,,[],0,False
"(0, 1)",20240322_104048,,[],0,False
"(0, 2)",20240322_104050,,[],0,False
"(0, 3)",20240322_104055,,[],0,False
"(0, 4)",20240322_104056,,[],0,False
"(0, 5)",20240322_104059,,[],0,False
"(0, 6)",20240322_104104,,[],0,False
"(0, 1)",20240322_105339,,[],0,
"(0, 1)",20240322_115029,,[],0,
"(0, 1)",20240322_115229,,[],0,
"(0, 1)",20240322_115418,,[],0,
"(0, 1)",20240322_132252,,"[11.34, 117.14, 96.17, 106.28, 24.41]",355.35,
"(0, 2)",20240322_132255,,"[11.59, 116.89, 96.17, 106.53, 24.41]",355.6,False
"(0, 3)",20240322_132256,,"[11.59, 116.89, 96.17, 106.53, 24.17]",355.35,False
"(0, 4)",20240322_132258,,"[11.59, 116.89, 96.17, 106.53, 24.41]",355.6,False
"(0, 5)",20240322_132300,,"[11.59, 116.89, 96.17, 106.53, 24.41]",355.6,False
"(0, 6)",20240322_132355,,"[11.59, 116.89, 96.18, 106.28, 24.41]",355.35,False
"(1, 0)",20240322_132545,,"[11.42, 117.89, 96.8, 106.98, 24.57]",357.66,
"(1, 0)",20240322_132624,,"[11.44, 118.18, 97.03, 107.23, 24.63]",358.52,
"(2, 0)",20240322_132626,,"[11.44, 118.18, 97.03, 107.23, 24.63]",358.52,False
"(3, 0)",20240322_132648,,"[11.44, 118.18, 97.03, 107.23, 24.63]",358.52,False
"(4, 0)",20240322_132701,,"[11.69, 118.18, 97.03, 107.23, 24.63]",358.77,False
"(0, 1)",20240322_132953,,[],0,
"(0, 2)",20240322_133010,,[],0,False
"(0, 1)",20240322_134444,,[],0,
"(1, 1)",20240322_134449,,"[11.44, 118.18, 97.03, 107.23, 24.63]",358.52,False
"(2, 1)",20240322_134453,,"[11.44, 118.18, 97.03, 107.23, 24.63]",358.52,False
"(3, 1)",20240322_134458,,"[11.44, 118.18, 97.03, 107.23, 24.63]",358.52,False
"(4, 1)",20240322_134500,,"[11.44, 118.18, 97.03, 107.23, 24.63]",358.52,False
"(5, 1)",20240322_134503,,"[11.44, 118.18, 97.03, 107.23, 24.63]",358.52,False
"(5, 2)",20240322_134505,,"[11.44, 118.18, 97.03, 107.23]",333.89,False
"(0, 1)",20240322_134537,,[85.39],85.39,
"(0, 2)",20240322_134542,,"[40.37, 67.24]",107.61,False
"(0, 3)",20240322_134549,,[67.24],67.24,False
"(0, 4)",20240322_134603,,[61.39],61.39,False
"(1, 0)",20240322_135347,,"[11.44, 118.18, 97.03, 107.23, 24.63]",358.52,
"(0, 1)",20240322_141020,,"[37.52, 32.1, 48.47, 113.2, 103.0, 1.49]",335.79,
"(0, 2)",20240322_141025,,"[37.52, 32.1, 48.52, 113.2, 103.0, 1.49]",335.85,False
"(0, 3)",20240322_143259,,"[37.52, 32.1, 48.52, 113.2, 103.0, 1.49]",335.85,False
"(0, 4)",20240322_143311,,"[40.95, 77.63, 112.96, 103.0, 1.74]",336.27,False
"(0, 5)",20240322_143316,,"[1.74, 77.63, 112.96, 103.0, 1.74]",297.07,False
"(0, 1)",20240322_143514,,"[41.8, 53.99, 94.05, 94.05]",283.88,
"(0, 2)",20240322_143518,,"[42.05, 53.99, 94.05, 94.05]",284.13,False
"(0, 3)",20240322_143521,,"[2.24, 42.05, 53.74, 94.05, 94.05]",286.12,False
"(0, 4)",20240322_143526,,"[2.24, 41.8, 53.99, 94.05, 94.05]",286.12,False
"(0, 5)",20240322_143530,,"[42.05, 53.99, 94.05, 94.05]",284.13,False
"(0, 6)",20240322_143536,,"[42.3, 53.74, 94.05, 94.05]",284.13,False
"(0, 1)",20240322_143635,,"[2.24, 41.55, 53.99, 93.8, 93.8]",285.38,
"(0, 2)",20240322_143639,,"[2.49, 41.55, 53.74, 93.8, 94.05]",285.63,False
"(0, 3)",20240322_143641,,"[2.49, 41.55, 53.74, 93.8, 93.8]",285.38,False
"(0, 4)",20240322_143645,,"[2.24, 41.8, 53.49, 94.05, 93.8]",285.38,False
"(0, 5)",20240322_143652,,"[2.24, 41.55, 53.99, 94.3, 93.31]",285.39,False
"(0, 6)",20240322_143655,,"[1.99, 42.05, 53.24, 94.55, 93.55]",285.38,False
"(0, 7)",20240322_143659,,"[1.99, 41.8, 53.74, 94.05, 93.8]",285.38,False
"(0, 8)",20240322_143701,,"[1.99, 41.8, 53.74, 94.3, 93.56]",285.39,False
"(0, 9)",20240322_143704,,"[2.24, 41.8, 53.24, 94.55, 93.55]",285.38,False
"(0, 10)",20240322_143708,,"[2.24, 41.8, 53.49, 94.3, 93.55]",285.38,False
"(0, 1)",20240322_144428,,[],0,
"(1, 1)",20240322_144438,,"[11.69, 117.93, 97.28, 107.23, 24.88]",359.02,False
"(1, 2)",20240322_144448,,"[2.49, 41.8, 53.49, 94.05, 93.55, 65.43]",350.81,False
"(1, 3)",20240322_144452,,"[2.24, 41.8, 53.99, 93.8, 93.8, 65.19]",350.81,False
"(0, 1)",20240322_151037,,"[2.49, 41.8, 53.49, 94.3, 93.55]",285.63,
"(0, 2)",20240322_151040,,"[2.49, 41.8, 53.49, 94.3, 93.55]",285.63,False
"(0, 3)",20240322_151046,,"[2.49, 41.8, 53.74, 93.8, 93.8, 65.19]",350.81,False
"(0, 4)",20240322_151055,,"[2.49, 41.8, 53.74, 93.8, 93.8]",285.63,False
"(0, 5)",20240322_151057,,"[2.49, 41.8, 53.74, 93.8, 93.8]",285.63,False
"(0, 1)",20240322_154915,,"[2.24, 41.8, 53.74, 94.05, 93.55]",285.38,
"(0, 1)",20240322_155238,,"[2.49, 41.55, 53.74, 94.05, 93.8, 64.44]",350.07,
"(0, 1)",20240322_155407,,"[2.24, 41.8, 53.74, 94.05, 93.55]",285.38,
"(0, 1)",20240322_155638,,"[1.99, 42.05, 53.74, 93.8, 93.8]",285.38,
"(0, 2)",20240322_155642,,"[2.24, 41.8, 53.74, 94.05, 93.55]",285.38,False
"(0, 1)",20240322_155952,,"[2.24, 41.8, 53.74, 94.05, 93.55]",285.38,
"(0, 1)",20240322_160054,,"[2.24, 41.8, 53.74, 93.8, 93.8]",285.38,
"(0, 2)",20240322_160058,,"[2.24, 41.8, 53.74, 94.05, 93.55]",285.38,False
"(0, 3)",20240322_160102,,"[2.24, 41.8, 53.74, 94.05, 93.55]",285.38,False
"(0, 1)",20240322_160355,,"[5.46, 41.8, 53.74, 94.05, 93.55]",288.6,
"(0, 1)",20240322_160428,,"[5.46, 41.8, 53.74, 94.05, 93.55]",288.6,
"(0, 2)",20240322_160430,,"[5.46, 41.8, 53.74, 94.05, 93.55]",288.6,False
"(0, 3)",20240322_160433,,"[5.46, 41.8, 53.74, 94.05, 93.55]",288.6,False
"(0, 4)",20240322_160435,,"[5.36, 42.05, 53.74, 94.05, 93.55]",288.75,False
"(0, 5)",20240322_160437,,"[5.46, 41.8, 53.74, 94.05, 93.55]",288.6,False
"(0, 1)",20240322_160453,,"[5.46, 41.8, 53.74, 93.8, 93.8]",288.6,
"(0, 2)",20240322_160455,,"[5.46, 41.8, 53.74, 94.05, 93.55]",288.6,False
"(0, 3)",20240322_160458,,"[5.56, 41.8, 53.74, 94.05, 93.55]",288.7,False
"(0, 4)",20240322_160501,,"[5.46, 41.8, 53.74, 94.05, 93.55]",288.6,False
"(0, 5)",20240322_160503,,"[5.46, 41.8, 53.74, 94.05, 93.55]",288.6,False
"(0, 6)",20240322_160505,,"[5.46, 41.8, 53.74, 94.05, 93.55]",288.6,False
"(0, 1)",20240322_160540,,"[12.69, 41.8, 53.74, 94.05, 93.55, 65.63]",361.45,
"(0, 1)",20240322_160618,,"[12.64, 41.8, 53.74, 94.05, 93.55]",295.78,
"(0, 2)",20240322_160632,,"[12.64, 41.8, 53.74, 94.05, 93.55]",295.78,False
"(0, 3)",20240322_160641,,"[12.64, 41.8, 53.74, 94.05, 93.55]",295.78,False
"(0, 1)",20240322_160824,,"[12.64, 41.8, 53.74, 94.05, 93.55]",295.78,
"(0, 1)",20240322_161349,,"[2.24, 41.8, 53.74, 94.05, 93.55]",285.38,
"(1, 0)",20240322_161423,,"[16.67, 41.8, 53.74, 94.05, 93.55, 22.64]",322.45,
"(2, 0)",20240322_161425,,"[16.67, 41.8, 53.74, 94.05, 93.55, 22.64]",322.45,False
"(3, 0)",20240322_161427,,"[16.67, 41.8, 53.74, 94.05, 93.55, 22.64]",322.45,False
"(4, 0)",20240322_161524,,"[16.67, 41.8, 53.74, 94.05, 93.55, 22.64]",322.45,False
"(5, 0)",20240322_161527,,"[16.67, 41.8, 53.74, 94.05, 93.55, 22.64]",322.45,False
"(1, 0)",20240322_161616,,"[16.67, 41.8, 53.74, 94.05, 93.55, 22.64]",322.45,
"(0, 1)",20240322_161809,,"[20.8, 41.8, 53.74, 94.05, 93.55, 25.83]",329.77,
"(0, 2)",20240322_161811,,"[20.8, 41.8, 53.74, 94.05, 93.55, 25.83]",329.77,False
"(0, 3)",20240322_161814,,"[20.8, 41.8, 53.74, 94.05, 93.55, 25.83]",329.77,False
"(0, 4)",20240322_161815,,"[20.8, 41.8, 53.74, 94.05, 93.55, 25.83]",329.77,False
"(0, 1)",20240322_161903,,"[20.6, 42.05, 53.74, 94.05, 93.55, 25.83]",329.82,
"(0, 2)",20240322_161905,,"[20.8, 41.8, 53.74, 94.05, 93.55, 25.83]",329.77,False
"(0, 3)",20240322_161907,,"[20.8, 41.8, 53.74, 94.05, 93.55, 25.83]",329.77,False
"(0, 1)",20240322_162316,,"[25.96, 41.8, 53.74, 94.05, 93.55, 30.15]",339.25,
"(0, 2)",20240322_162318,,"[25.96, 41.8, 53.74, 94.05, 93.55, 30.15]",339.25,False
"(0, 3)",20240322_162320,,"[25.96, 41.8, 53.74, 94.05, 93.55, 30.15]",339.25,False
"(0, 4)",20240322_162322,,"[25.96, 41.8, 53.74, 94.05, 93.55, 30.15]",339.25,False
"(0, 1)",20240322_162402,,"[17.4, 41.8, 53.74, 94.05, 93.55, 23.18]",323.72,
"(0, 2)",20240322_162404,,"[17.4, 41.8, 53.74, 94.05, 93.55, 23.18]",323.72,False
"(0, 3)",20240322_162406,,"[17.4, 41.8, 53.74, 94.05, 93.55, 23.18]",323.72,False
"(0, 4)",20240322_162408,,"[17.4, 41.8, 53.74, 94.05, 93.55, 23.18]",323.72,False
"(0, 5)",20240322_162410,,"[17.4, 41.8, 53.74, 94.05, 93.55, 23.18]",323.72,False
"(0, 6)",20240322_162421,,"[17.4, 41.55, 53.74, 94.05, 93.8, 23.18]",323.72,False
"(0, 7)",20240322_162424,,"[17.63, 41.8, 53.49, 94.05, 93.8, 23.18]",323.95,False
"(0, 8)",20240322_162427,,"[17.4, 41.55, 53.74, 94.05, 93.8, 23.18]",323.72,False
"(0, 1)",20240322_162516,,"[61.56, 41.55, 53.74, 94.55, 93.3, 22.39]",367.09,
"(1, 1)",20240322_162518,,"[16.92, 41.55, 53.74, 94.55, 93.3, 22.39]",322.45,False
"(2, 1)",20240322_162520,,"[16.92, 41.55, 53.74, 94.55, 93.31, 22.39]",322.45,False
"(3, 1)",20240322_162522,,"[16.92, 41.55, 53.74, 94.55, 93.31, 22.39]",322.45,False
"(4, 1)",20240322_162524,,"[16.92, 41.55, 53.74, 94.55, 93.31, 22.39]",322.45,False
"(5, 1)",20240322_162526,,"[16.92, 41.55, 53.74, 94.55, 93.31, 22.39]",322.45,False
"(6, 1)",20240322_162528,,"[16.92, 41.55, 53.74, 94.55, 93.31, 22.39]",322.45,False
"(0, 1)",20240322_163944,,"[18.16, 41.3, 53.74, 94.3, 93.55, 23.39]",324.44,
"(0, 2)",20240322_163946,,"[17.91, 41.55, 53.74, 94.55, 93.3, 23.39]",324.44,False
"(1, 0)",20240322_164038,,"[16.67, 41.55, 53.74, 94.3, 93.55, 22.39]",322.2,
"(2, 0)",20240322_164043,,"[16.67, 41.55, 53.74, 94.3, 93.55, 22.39]",322.2,False
"(0, 1)",20240322_164330,,"[22.39, 92.3, 92.81, 55.49, 40.57, 17.17]",320.72,
"(1, 1)",20240322_164336,,"[22.39, 92.3, 92.81, 55.49, 40.57, 17.17]",320.72,False
"(2, 1)",20240322_164341,,"[22.39, 92.3, 92.81, 55.49, 40.57, 17.17]",320.72,False
"(3, 1)",20240322_164345,,"[22.39, 92.3, 92.81, 55.49, 40.57, 17.17]",320.72,False
"(4, 1)",20240322_164352,,"[16.92, 41.3, 53.99, 94.3, 93.3, 22.39]",322.2,False
"(5, 1)",20240322_164354,,"[16.92, 41.3, 53.99, 94.3, 93.3, 22.39]",322.2,False
"(6, 1)",20240322_164403,,"[11.69, 118.18, 97.03, 107.48, 24.88]",359.27,False
"(0, 1)",20240322_164436,,"[22.39, 92.31, 92.81, 54.99, 41.31, 16.92]",320.73,
"(0, 2)",20240322_164441,,"[22.39, 92.55, 92.56, 54.99, 41.31, 16.92]",320.73,False
"(0, 1)",20240325_094434,,"[22.39, 92.55, 92.56, 54.99, 41.31, 16.67]",320.47,
"(0, 2)",20240325_094436,,"[22.39, 92.55, 92.56, 54.99, 41.31, 16.92]",320.72,False
"(0, 3)",20240325_094439,,"[22.39, 92.55, 92.56, 54.99, 41.31, 16.92]",320.72,False
"(0, 4)",20240325_094442,,"[22.39, 92.55, 92.56, 54.99, 41.31, 16.92]",320.72,False
"(0, 1)",20240325_094837,,"[22.39, 92.55, 92.56, 54.99, 41.31, 16.92]",320.73,
"(0, 2)",20240325_094840,,"[22.39, 92.55, 92.56, 54.99, 41.31, 16.67]",320.47,False
"(0, 3)",20240325_094841,,"[22.39, 92.55, 92.56, 54.99, 41.31, 16.92]",320.72,False
"(0, 4)",20240325_094843,,"[22.39, 92.55, 92.56, 54.99, 41.31, 16.92]",320.72,False
